Prod id;07/04/2025;14/04/2025;21/04/2025;28/04/2025
1176;1.322357143;1.3285;1.329936508;1.348735714
1177;1.716357143;1.724428571;1.72612963;1.751692857
1179;74.63307143;74.99714286;75.07731481;76.1786
1180;1.203428571;1.206285714;1.20228836;1.214164286
1181;0;0;0;0
1182;0;0;0;0
1183;114.8311429;115.3865714;115.5025794;117.1864714
1184;0;0;0;0
1185;0;0;0;0
1186;0;0;0;0
1187;0;0;0;0
1188;8.793928571;8.820714286;8.800722222;8.895121429
1189;16.09321429;16.15992857;16.15632011;16.36936429
1190;10.31371429;10.36321429;10.37246296;10.52270714
1191;4.416357143;3.6705;3.879534392;3.47405
1192;0;0;0;0
1193;0;0;0;0
1194;0;0;0;0
1195;0;0;0;0
1196;0;0;0;0
1197;0;0;0;0
1198;0;0;0;0
1199;0;0;0;0
1200;0;0;0;0
1201;0;0;0;0
1204;0;0;0;0
1205;0;0;0;0
1207;33.07657143;33.1705;33.08745767;33.43365714
1211;28.704;28.801;28.7551455;29.08649286
1212;6.157428571;6.179714286;6.172470899;6.246792857
1213;18.5185;18.58507143;18.56065873;18.78094286
1216;8.343285714;8.383571429;8.393;8.51615
1217;0;0;0;0
1218;0;0;0;0
1219;0;0;0;0
1220;0;0;0;0
1221;90.12928571;90.47957143;90.41740741;91.5557
1224;11.05914286;11.09357143;11.07133862;11.19302143
1225;6.716571429;6.747571429;6.753026455;6.849457143
1226;9.501071429;9.541857143;9.542351852;9.671092857
1227;54.21957143;54.45735714;54.46770106;55.21013571
1228;87.95642857;88.23092857;88.04979894;89.01742143
1229;22.33521429;22.36321429;22.24274603;22.39992143
1231;3.129714286;3.140428571;3.136232804;3.173328571
1232;1.716714286;1.723428571;1.72357672;1.746907143
1233;9.176642857;9.207714286;9.192510582;9.297164286
1234;10.56414286;10.60207143;10.59117196;10.72012143
1235;3.008428571;3.017142857;3.009973545;3.041285714
1236;17.76707143;17.82592857;17.7952037;17.99650714
1237;9.693142857;9.717571429;9.688465608;9.785064286
1238;5.620928571;5.638857143;5.628793651;5.691792857
1239;4.8795;4.894785714;4.885566138;4.939185714
1240;0;0;0;0
1242;0;0;0;0
1243;0;0;0;0
1246;0;0;0;0
1247;0;0;0;0
1248;0;0;0;0
1249;0;0;0;0
1250;0;0;0;0
1251;0;0;0;0
1252;0;0;0;0
1253;0;0;0;0
1254;6.695142857;6.714142857;6.696415344;6.765042857
1257;59.96235714;60.15885714;60.05046561;60.72843571
1258;19.99978571;20.074;20.05425132;20.29946429
1259;0;0;0;0
1261;35.74914286;35.87414286;35.82464286;36.24645714
1262;0;0;0;0
1265;53.32721429;53.38328571;53.07799471;53.43035714
1268;0;0;0;0
1269;0;0;0;0
1270;0;0;0;0
1271;0;0;0;0
1272;0;0;0;0
1273;0;0;0;0
1275;0;0;0;0
1276;0;0;0;0
