Prod id;07/04/2025;14/04/2025;21/04/2025;28/04/2025
35494;1.893642857;1.9005;1.899809524;1.924728571
35495;0.846714286;0.8495;0.847719577;0.857257143
35496;3.792214286;3.8055;3.800322751;3.845585714
35497;2.891642857;2.901785714;2.89876455;2.933464286
35499;0.577714286;0.580285714;0.579740741;0.587821429
35500;0;0;0;0
35501;0.264;0.263214286;0.260796296;0.261692857
35514;0;0;0;0
35515;0;0;0;0
35516;0.021857143;0.022357143;0.022751323;0.022607143
35517;0.021857143;0.022357143;0.022751323;0.022607143
35518;0;0;0;0
35519;0;0;0;0
35520;0.021857143;0.022357143;0.022751323;0.022607143
35521;0;0;0;0
35522;0;0;0;0
35523;0;0;0;0
35524;0;0;0;0
35525;0.01;0.01;0.01;0.01
35549;1.428214286;1.433285714;1.432753968;1.451557143
35550;1.234;1.238571429;1.236;1.249864286
35551;0.494214286;0.495357143;0.494079365;0.49965
35552;35.30664286;35.4795;35.5174709;36.03806429
35553;13.47721429;13.51792857;13.48757937;13.63226429
35556;0;0;0;0
35557;0;0;0;0
35558;0;0;0;0
35559;0;0;0;0
35560;0;0;0;0
35561;0;0;0;0
35562;0;0;0;0
35564;2.354357143;2.364785714;2.365206349;2.397121429
35565;1.175357143;1.180785714;1.180579365;1.196478571
35566;3.715428571;3.730285714;3.727878307;3.775157143
35567;4.645714286;4.665285714;4.66489418;4.726285714
35568;0.615642857;0.618071429;0.617785714;0.625778571
35569;0.9735;0.978357143;0.978021164;0.990428571
35570;1.034357143;1.039071429;1.039190476;1.053385714
35571;0.567214286;0.570571429;0.571761905;0.578385714
35572;0;0;0;0
35573;0;0;0;0
35574;0;0;0;0
35575;0;0;0;0
35576;0;0;0;0
35588;0.159214286;0.160357143;0.160878307;0.162957143
35589;0;0;0;0
35590;0;0;0;0
35591;0.159214286;0.160357143;0.160878307;0.162957143
35592;0.215214286;0.215642857;0.214425926;0.216692857
35593;0.158928571;0.159642857;0.159280423;0.160564286
35594;0.274071429;0.275357143;0.275743386;0.28
35595;0;0;0;0
35596;0.628285714;0.629357143;0.628291005;0.636342857
35597;0.835357143;0.839571429;0.84062963;0.852821429
35598;0.125785714;0.126428571;0.126166667;0.128171429
35599;0.01;0.01;0.01;0.01
35757;3.057071429;3.065;3.054521164;3.082978571
35765;5.840285714;5.861857143;5.855716931;5.926792857
35766;2.094;2.099428571;2.093489418;2.115507143
35771;11.71771429;11.7575;11.74017725;11.87689286
35772;16.0635;16.11421429;16.08162698;16.25903571
35773;13.72735714;13.77164286;13.74610053;13.89965714
35790;0.194714286;0.195285714;0.195013228;0.197957143
35791;0.914571429;0.919071429;0.920124339;0.932821429
35792;0.508928571;0.510714286;0.510169312;0.516128571
35794;0;0;0;0
35795;0.642857143;0.646571429;0.647428571;0.656128571
35796;0.079428571;0.079785714;0.079719577;0.081478571
35799;3.106214286;3.1125;3.101330688;3.129457143
35800;1.852071429;1.860857143;1.862428571;1.8886
35801;2.470714286;2.4795;2.475695767;2.504942857
